"","Time","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","Amount","Class"
"V10",0.0306166285923197,5.32367588378812e-17,-1.34276001533582e-16,2.04770409099919e-16,-1.04436955762143e-16,1.09766936681221e-16,1.36754208650081e-16,3.05821456595921e-16,-1.37584057760772e-18,-2.69939779289722e-16,1,-3.36266412219711e-16,8.314966026024e-16,-4.31117819150467e-16,6.22608052267536e-16,4.22186151492591e-16,1.76531319034999e-16,6.92913717759857e-16,4.8097592442476e-16,2.2971299961908e-17,-1.27089833430928e-15,1.05503332779618e-15,-2.58980358810406e-16,2.35234079090717e-16,-8.47348191682789e-17,-3.46788245108495e-16,-3.76630970016257e-16,-3.66705615877865e-16,2.28942333509249e-16,-0.101502140791431,-0.21688294364103
"V11",-0.247689437486673,3.00228600495088e-16,3.43882154552927e-16,1.1366581947783e-16,-2.92183142526514e-16,7.26848733865737e-16,8.79728431059356e-16,-3.65411742200754e-16,1.37127972862373e-16,3.13963905381612e-16,-3.36266412219711e-16,1,-6.27167388590003e-16,4.00347538034321e-16,-7.69501110274349e-17,2.08804865971034e-16,1.68038935705064e-16,6.73105199413946e-16,9.84623826054757e-17,-1.09522979612002e-15,-2.06962850895627e-16,9.50620418980397e-18,1.04083426651371e-17,1.28210803966807e-16,1.6492240534735e-15,-6.04982260182422e-16,-1.12419695222271e-16,-1.68764114668172e-16,-3.46587572342352e-16,0.000103977021764101,0.154875644743949
"V12",0.124348068371933,1.81854218160115e-16,-3.24983205711557e-16,2.10584159847279e-16,-1.93919625507016e-16,3.91588767131466e-16,2.77728053772047e-16,6.62894023814104e-16,3.1250713645147e-17,-1.25053158368121e-15,8.314966026024e-16,-6.27167388590003e-16,1,-2.294537203459e-14,4.33927627524474e-16,-2.84535275453298e-16,4.96149176852068e-16,-3.58148462123995e-16,-6.05795094501761e-16,1.82268521362926e-16,2.52528604617329e-16,5.75493252582437e-16,-6.4895712523072e-17,2.83750218243593e-16,4.38588407854972e-16,-1.15813874461999e-17,1.75529715508167e-16,-3.0834373581571e-16,7.01032577913055e-16,-0.00954180215320543,-0.26059292487722
"V13",-0.0659020236976177,-4.92452160984768e-17,-3.78139501291824e-17,-3.51951677923547e-17,1.73299916432407e-17,-2.92590601209054e-16,-1.58607874582028e-16,-6.2223103650103e-17,-2.95680705240308e-16,9.31587284947394e-16,-4.31117819150467e-16,4.00347538034321e-16,-2.294537203459e-14,1,1.4327116748656e-15,-1.09437007278696e-16,4.75859064334234e-16,7.75784722799163e-17,2.42477874139684e-16,-1.20242589764717e-16,3.69948082153445e-17,1.42308559052995e-16,-4.94505181340028e-17,-6.83045018441362e-16,-6.51749256681332e-16,-9.57224463476619e-17,-1.37159404474388e-16,-4.85640497944852e-16,1.08476242836948e-15,0.00529340903042117,-0.00456977879946131
"V14",-0.0987568192062253,3.87277551433835e-16,-3.80671117323212e-16,6.69846111764595e-16,-9.66857365498053e-17,2.42852425099961e-16,3.37790304433071e-16,3.32323567962154e-17,-2.67126177138926e-16,9.30831510167684e-16,6.22608052267536e-16,-7.69501110274349e-17,4.33927627524474e-16,1.4327116748656e-15,1,-2.95487829615507e-16,-8.13206594548985e-16,1.14963321197659e-15,-2.2033745484658e-16,2.34685612909978e-16,-2.18090631212003e-17,-2.10076088516181e-16,6.14844942066116e-16,2.29754849642629e-16,3.19760505275815e-17,-3.55013089361106e-17,-2.41553410774535e-17,4.2642440770878e-18,2.40489329873845e-15,0.0337511717631006,-0.302543695804408
"V15",-0.183453273481034,-9.1352216436891e-17,6.45704611181293e-17,-6.31248194918809e-17,1.84407633548417e-16,1.15176153142457e-16,-1.12206234367215e-16,-3.68668956360499e-17,1.06386930903806e-16,-8.88641519275561e-16,4.22186151492591e-16,2.08804865971034e-16,-2.84535275453298e-16,-1.09437007278696e-16,-2.95487829615507e-16,1,9.89668986093498e-16,-5.77062425039434e-16,6.81592509166978e-16,-1.43942074641074e-15,1.75478762022537e-16,5.27246872009964e-17,-3.43894698990819e-16,9.56414526970254e-17,-4.48314788955953e-16,2.18088653838557e-16,1.01883269005833e-16,-1.24845558539761e-15,-1.12141068505902e-15,-0.00298584812455984,-0.00422340226785671
"V16",0.011902867722434,3.34985662979175e-16,4.06840593603323e-17,5.71403819828239e-16,-4.18293513815378e-17,6.01489536253426e-16,-1.03902246454202e-16,4.92449891160912e-16,1.62464943431465e-16,-4.60910582463677e-16,1.76531319034999e-16,1.68038935705064e-16,4.96149176852068e-16,4.75859064334234e-16,-8.13206594548985e-16,9.89668986093498e-16,1,1.67616967436969e-15,-2.71120429270195e-15,1.11991104972572e-15,3.4682271497774e-16,-4.00397451677206e-16,2.54400792584899e-16,7.05217993401883e-16,-3.52277209899704e-16,-3.33105522708571e-16,-4.66047025393917e-16,8.11007818433148e-16,7.02848052360204e-16,-0.00390952671356023,-0.196538940304021
"V17",-0.0732972133177972,-2.37374408360671e-17,-6.40358479353184e-16,9.2215629393418e-17,-3.72792834171519e-16,4.23945306775897e-16,1.24695130635849e-16,5.44583815710192e-16,-3.62385427463057e-16,7.04694832550633e-16,6.92913717759857e-16,6.73105199413946e-16,-3.58148462123995e-16,7.75784722799163e-17,1.14963321197659e-15,-5.77062425039434e-16,1.67616967436969e-15,1,-5.24417047696178e-15,3.76747572202455e-16,-8.85156768607248e-16,-9.52493813648835e-16,-3.24948882974367e-16,4.37345075128485e-16,-1.6316828307912e-16,7.89295030153883e-17,2.5420176848509e-16,6.94584314621559e-16,-8.34453407420423e-17,0.0073090420770006,-0.326481067243718
"V18",0.0904381325486104,1.46896069795531e-16,2.33423561017758e-16,3.12831299687942e-16,-1.51483688600421e-17,4.13466397045527e-16,5.57412656743818e-17,2.00110412692923e-16,-3.32598352562528e-16,1.4544437013849e-16,4.8097592442476e-16,9.84623826054757e-17,-6.05795094501761e-16,2.42477874139684e-16,-2.2033745484658e-16,6.81592509166978e-16,-2.71120429270195e-15,-5.24417047696178e-15,1,-2.6746920571216e-15,-3.71448875733468e-16,-1.2074255896842e-15,-5.37181425636858e-16,-2.96296797079443e-16,-1.80809207123279e-16,-2.49827778163611e-16,2.92077821539367e-16,2.26847679859642e-16,8.01059584398651e-16,0.035650340719998,-0.111485253889042
"V19",0.0289753025611344,1.64992759430455e-16,1.20254825093462e-17,3.45658140132242e-16,-2.88433444245665e-16,-1.19241162572108e-16,8.16976194109753e-17,-7.32631192710812e-17,-3.34956041364523e-16,1.17561841414039e-16,2.2971299961908e-17,-1.09522979612002e-15,1.82268521362926e-16,-1.20242589764717e-16,2.34685612909978e-16,-1.43942074641074e-15,1.11991104972572e-15,3.76747572202455e-16,-2.6746920571216e-15,1,2.87581641855997e-16,5.81091023141772e-16,-1.00703074006701e-15,6.69100052928311e-16,-8.71883254035322e-17,8.22386079869115e-16,5.50152335599773e-16,-1.54554650716652e-16,-1.36145263711807e-15,-0.0561507872311584,0.0347830130365152
"V20",-0.0508660184683539,1.43258146601957e-16,8.19404944412798e-17,7.00488674892008e-17,-1.83799142475423e-16,-1.93038606049438e-16,1.16143870602824e-16,2.16013491314191e-16,1.26193031945825e-16,-3.5535839200097e-16,-1.27089833430928e-15,-2.06962850895627e-16,2.52528604617329e-16,3.69948082153445e-17,-2.18090631212003e-17,1.75478762022537e-16,3.4682271497774e-16,-8.85156768607248e-16,-3.71448875733468e-16,2.87581641855997e-16,1,-1.17201528339187e-15,9.58767944103041e-16,1.10057356071144e-16,1.61706834033353e-16,-4.97648958772654e-18,-3.4993911198475e-16,-9.88740429400535e-16,-2.26458573440835e-16,0.339403404546173,0.0200903241969756
"V21",0.044735726289081,-9.27167517128272e-17,8.03959322518011e-17,-1.59215510999369e-16,-5.92562207881675e-17,-7.20726760054981e-17,-8.65765819081189e-17,9.84232171744299e-18,2.68569996398716e-17,2.37197828957367e-16,1.05503332779618e-15,9.50620418980397e-18,5.75493252582437e-16,1.42308559052995e-16,-2.10076088516181e-16,5.27246872009964e-17,-4.00397451677206e-16,-9.52493813648835e-16,-1.2074255896842e-15,5.81091023141772e-16,-1.17201528339187e-15,1,3.48982741342883e-15,6.4591158002095e-16,1.39180454433631e-16,-1.05854399716011e-16,-4.80370091164863e-16,-1.39853802824698e-15,2.02513435709995e-16,0.105998927637717,0.040413380610576
"V22",0.144059054861464,9.61133608798993e-17,1.7010331125322e-16,-2.25764060225147e-16,2.37187923378787e-16,2.27878416588511e-17,-1.15346551088623e-16,-6.60008282737143e-16,2.51918456385682e-17,-1.71596875629402e-16,-2.58980358810406e-16,1.04083426651371e-17,-6.4895712523072e-17,-4.94505181340028e-17,6.14844942066116e-16,-3.43894698990819e-16,2.54400792584899e-16,-3.24948882974367e-16,-5.37181425636858e-16,-1.00703074006701e-15,9.58767944103041e-16,3.48982741342883e-15,1,2.99899504941562e-16,3.18080845305859e-17,-9.67614828944696e-16,-3.92080740057378e-17,1.63577491957106e-16,-5.3771439426313e-16,-0.0648006463732007,0.000805317505298462
"V23",0.051142364941773,1.75789144968558e-16,1.34671907494779e-16,-7.68308962985904e-17,2.00043369594282e-16,1.1025084706354e-16,3.4844825213089e-17,-2.64179349760308e-16,1.91877333967642e-16,-8.97597002480064e-17,2.35234079090717e-16,1.28210803966807e-16,2.83750218243593e-16,-6.83045018441362e-16,2.29754849642629e-16,9.56414526970254e-17,7.05217993401883e-16,4.37345075128485e-16,-2.96296797079443e-16,6.69100052928311e-16,1.10057356071144e-16,6.4591158002095e-16,2.99899504941562e-16,1,6.6627035468306e-17,-7.2849993391782e-16,1.27925331717672e-15,4.32529829213172e-16,1.36732910048406e-15,-0.112632553632537,-0.00268515574025072
"V24",-0.0161818684593075,-5.15713243397219e-17,-1.07103038972999e-16,2.52686486232483e-17,1.60624086148362e-16,-9.70966500112874e-16,-1.0737786642004e-15,-7.01226041611484e-18,-2.11591991245904e-16,-2.81788270024786e-16,-8.47348191682789e-17,1.6492240534735e-15,4.38588407854972e-16,-6.51749256681332e-16,3.19760505275815e-17,-4.48314788955953e-16,-3.52277209899704e-16,-1.6316828307912e-16,-1.80809207123279e-16,-8.71883254035322e-17,1.61706834033353e-16,1.39180454433631e-16,3.18080845305859e-17,6.6627035468306e-17,1,1.24032435695206e-15,1.8638376983857e-16,-3.05027767268241e-16,-2.77021220184059e-16,0.0051462174307671,-0.00722090671595279
"V25",-0.233082790598311,-2.39062280482822e-16,1.1570836984779e-16,1.14595548052387e-16,6.47312289186109e-16,-1.05876701723348e-16,5.5467562086713e-16,1.86157699081659e-17,-1.56808864942842e-16,2.42857273861463e-16,-3.46788245108495e-16,-6.04982260182422e-16,-1.15813874461999e-17,-9.57224463476619e-17,-3.55013089361106e-17,2.18088653838557e-16,-3.33105522708571e-16,7.89295030153883e-17,-2.49827778163611e-16,8.22386079869115e-16,-4.97648958772654e-18,-1.05854399716011e-16,-9.67614828944696e-16,-7.2849993391782e-16,1.24032435695206e-15,1,2.43546507482529e-15,-5.96165728641934e-16,3.73427863046217e-16,-0.0478368631761396,0.00330770559729969
"V26",-0.0414071006060583,-1.26419121182699e-16,2.62079174337898e-16,-2.16413392558809e-16,-4.04084793124385e-16,3.38728539088946e-16,-2.54049148058046e-16,-7.83306122454708e-16,2.09644339195125e-18,-9.56591369769435e-17,-3.76630970016257e-16,-1.12419695222271e-16,1.75529715508167e-16,-1.37159404474388e-16,-2.41553410774535e-17,1.01883269005833e-16,-4.66047025393917e-16,2.5420176848509e-16,2.92077821539367e-16,5.50152335599773e-16,-3.4993911198475e-16,-4.80370091164863e-16,-3.92080740057378e-17,1.27925331717672e-15,1.8638376983857e-16,2.43546507482529e-15,1,-2.85124500886332e-16,-2.95237972147693e-16,-0.00320803715097888,0.00445539750128339
"V27",-0.00513459112399725,9.65771063478681e-17,-5.26719727075683e-16,5.24779117839665e-16,-1.05900922027952e-16,4.52668641560421e-16,-1.38776528854691e-16,-1.85676943475726e-16,3.20313919176536e-16,-1.73043112893039e-16,-3.66705615877865e-16,-1.68764114668172e-16,-3.0834373581571e-16,-4.85640497944852e-16,4.2642440770878e-18,-1.24845558539761e-15,8.11007818433148e-16,6.94584314621559e-16,2.26847679859642e-16,-1.54554650716652e-16,-9.88740429400535e-16,-1.39853802824698e-15,1.63577491957106e-16,4.32529829213172e-16,-3.05027767268241e-16,-5.96165728641934e-16,-2.85124500886332e-16,1,3.00187578736487e-17,0.0288254634243597,0.0175797281895134
"V28",-0.00941268817905226,3.67991002684261e-16,-3.78174691710886e-16,7.32856857804831e-16,-3.46329889066146e-18,-1.77630740875679e-16,4.32111187644182e-16,8.20838081088065e-17,-5.80831303617924e-16,7.96143007089446e-16,2.28942333509249e-16,-3.46587572342352e-16,7.01032577913055e-16,1.08476242836948e-15,2.40489329873845e-15,-1.12141068505902e-15,7.02848052360204e-16,-8.34453407420423e-17,8.01059584398651e-16,-1.36145263711807e-15,-2.26458573440835e-16,2.02513435709995e-16,-5.3771439426313e-16,1.36732910048406e-15,-2.77021220184059e-16,3.73427863046217e-16,-2.95237972147693e-16,3.00187578736487e-17,1,0.0102582158930448,0.00953604091623628
"Amount",-0.0105963733890292,-0.227708652922404,-0.531408939328033,-0.21088047528991,0.0987316663135647,-0.38635625616306,0.215981180225279,0.397311278181689,-0.10307909564498,-0.0442456019644455,-0.101502140791431,0.000103977021764101,-0.00954180215320543,0.00529340903042117,0.0337511717631006,-0.00298584812455984,-0.00390952671356023,0.0073090420770006,0.035650340719998,-0.0561507872311584,0.339403404546173,0.105998927637717,-0.0648006463732007,-0.112632553632537,0.0051462174307671,-0.0478368631761396,-0.00320803715097888,0.0288254634243597,0.0102582158930448,1,0.0056317530067686
"Class",-0.0123225709292458,-0.101347298595086,0.0912886503446202,-0.192960827067415,0.133447486239006,-0.0949742989914493,-0.0436431606999643,-0.1872565915143,0.0198751239147946,-0.0977326860740799,-0.21688294364103,0.154875644743949,-0.26059292487722,-0.00456977879946131,-0.302543695804408,-0.00422340226785671,-0.196538940304021,-0.326481067243718,-0.111485253889042,0.0347830130365152,0.0200903241969756,0.040413380610576,0.000805317505298462,-0.00268515574025072,-0.00722090671595279,0.00330770559729969,0.00445539750128339,0.0175797281895134,0.00953604091623628,0.0056317530067686,1
